Nama Perusahaan,Termin,Pekerjaan,Fee,BULAN,WEEK,ESTIMASI CASH IN,PIC
PT Industri Nuklir Indonesia,Final,Audit 31 Des 2024,"26,000,000",APRIL,MINGGU 2,MEI,RANGGA
PT Waskita Karya Infrastruktur,Third,Audit 31 Des 2024,"25,200,000",MARET,MINGGU 2,APRIL,NILUH
PT Waskita Karya Infrastruktur,Final,Audit 31 Des 2024,"25,200,000",APRIL,MINGGU 3,MEI,NILUH
PT Sawit Gemilang Abadi,Second,audit 31 des 2024,"25,000,000",MARET,MINGGU 1,APRIL,GRESSY
PT Actavis Indonesia,Final,audit 31 des 2024,"25,000,000",APRIL,MINGGU 2,MEI,TERRY
PT Anoa Sulawesi Regas,Second,Audit 31 Des 2024,"25,000,000",APRIL,MINGGU 2,MEI,KIKI
PT Seroja Jaya Agensi,Second,Audit 31 Des 2024,"25,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Garuda Nusantara Pacific,Second,Audit 31 Des 2024,"25,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Propernas Griya Utama,Final,Audit 31 Des 2024,"25,000,000",MARET,MINGGU 3,APRIL,KIKI
Bank DKI,Sixth,due diligence bank malut,"24,594,595",DESEMBER,MINGGU 3,2026,ELIN
PT McMOL,Second,audit 31 des 2024,"22,500,000",MARET,MINGGU 3,MARET,KIKI
PT PLN IP Renewables,Seconnd,Audit 31 des 2024,"22,500,000",MARET,MINGGU 3,APRIL,TERRY
PT Axalta Coating Indonesia,Final,Audit 31 Des 2024,"22,000,000",JULI,MINGGU 3,AGUSTUS,TERRY
PT Sawit Sukses Sejahtera,Final,audit 31 des 2024,"22,000,000",MARET,MINGGU 2,APRIL,GRESSY
PT Waskita Sriwijaya Tol,Third,Audit 31 Des 2024,"21,420,000",MARET,MINGGU 3,APRIL,NILUH
PT Waskita Sriwijaya Tol,Final,Audit 31 Des 2024,"21,420,000",APRIL,MINGGU 3,MEI,NILUH
PT Waskita Bumi Wira,Third,Audit 31 Des 2024,"21,420,000",MARET,MINGGU 3,APRIL,NILUH
PT Waskita Bumi Wira,Final,Audit 31 Des 2024,"21,420,000",APRIL,MINGGU 3,MEI,NILUH
PT STI Indonesia,Second,audit 31 des 2024,"21,000,000",MARET,MINGGU 2,APRIL,GRESSY
PT Jaya Manis Indonesia,Second,Audit 31 Des 2024,"20,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Prima Cipta Selaras,Final,audit 31 des 2024,"19,400,000",MARET,MINGGU 3,APRIL,GRESSY
PT Armada Gema Nusantara,Final,Audit 31 Des 2024,"18,000,000",APRIL,MINGGU 3,MEI,KIKI
PT Etsi Hutama Maritim,Second,audit 31 des 2024,"17,500,000",MARET,MINGGU 2,APRIL,GRESSY
PT Diva Perdana Pesona,Second,Audit 31 Des 2024,"17,500,000",MARET,MINGGU 1,APRIL,LINA
PT Telaga Mas Kalimantan,Second,Audit 31 Des 2024,"17,500,000",MARET,MINGGU 1,APRIL,LINA
PT Sinbar Persada Indonesia,Second,Audit 31 Des 2024,"17,500,000",MARET,MINGGU 3,APRIL,GRESSY
Kop Karya Mitra Bakuba,Second,Audit 31 des 2024,"17,500,000",MARET,MINGGU 3,APRIL,GRESSY
Kop Melata Jaya Indah,Second,Audit 31 des 2024,"17,500,000",MARET,MINGGU 3,APRIL,GRESSY
Kop Bina Semua Jaya,Second,Audit 31 des 2024,"17,500,000",MARET,MINGGU 3,APRIL,GRESSY
Kop Harapan Makmur Bersama,Second,Audit 31 des 2024,"17,500,000",MARET,MINGGU 3,APRIL,GRESSY
Koperasi Kondang Maju Bersama,Second,Audit 31 des 2024,"17,500,000",MARET,MINGGU 3,APRIL,GRESSY
Kop Batu Dara Omas,Second,Audit 31 des 2024,"17,500,000",MARET,MINGGU 3,APRIL,GRESSY
Koperasi Jasa Nuangan Kasuma Jaya,Second,Audit 31 des 2024,"17,500,000",MARET,MINGGU 3,APRIL,GRESSY
Kop Seluai Jaya Abadi,Second,Audit 31 des 2024,"17,500,000",MARET,MINGGU 3,APRIL,GRESSY
Kop Turun Bakunyit Abadi,Second,Audit 31 des 2024,"17,500,000",MARET,MINGGU 3,APRIL,GRESSY
Kop Sumber Air Jaya,Second,Audit 31 des 2024,"17,500,000",MARET,MINGGU 3,APRIL,GRESSY
Kop Kelampai Raya Lestari,Second,Audit 31 des 2024,"17,500,000",MARET,MINGGU 3,APRIL,GRESSY
Kop Rimba Baguna,Second,Audit 31 des 2024,"17,500,000",MARET,MINGGU 3,APRIL,GRESSY
Kop Pusaka Bulau Sahabun,Second,Audit 31 des 2024,"17,500,000",MARET,MINGGU 3,APRIL,GRESSY
Kop Maraga Jaya Bersama,Second,Audit 31 des 2024,"17,500,000",MARET,MINGGU 3,APRIL,GRESSY
Kop Natai Suka Sejahtera,Second,Audit 31 des 2024,"17,500,000",MARET,MINGGU 3,APRIL,GRESSY
PT Trakindo Utama,Fouth,SOP Expense Claim Procedure,"16,815,000",MARET,MINGGU 3,MEI,YULIANA
PT Trakindo Utama,Final,SOP Expense Claim Procedure,"16,815,000",MARET,MINGGU 3,MEI,YULIANA
PT Waskita Sangir Energi,Third,Audit 31 Des 2024,"16,380,000",MARET,MINGGU 3,APRIL,NILUH
PT Waskita Sangir Energi,Final,Audit 31 Des 2024,"16,380,000",APRIL,MINGGU 3,MEI,NILUH
PT Waskita Wado Energi,Third,Audit 31 Des 2024,"16,380,000",MARET,MINGGU 3,APRIL,NILUH
PT Waskita Wado Energi,Final,Audit 31 Des 2024,"16,380,000",APRIL,MINGGU 3,MEI,NILUH
PT Pemalang Batang Tol Road,Third,Audit 31 Des 2024,"16,380,000",MARET,MINGGU 3,APRIL,NILUH
PT Pemalang Batang Tol Road,Final,Audit 31 Des 2024,"16,380,000",APRIL,MINGGU 3,MEI,NILUH
PT Tol Teluk Balikpapan,Third,Audit 31 Des 2024,"16,380,000",MARET,MINGGU 3,APRIL,NILUH
PT Tol Teluk Balikpapan,Final,Audit 31 Des 2024,"16,380,000",APRIL,MINGGU 3,MEI,NILUH
