No,Jenis Pekerjaan,Nama Calon Klien,Detail Pekerjaan,  Fee,PIC,confirmed/not confirmed,Notes,
64,CONSULTING,PT Biro Klasifikasi Indonesia,ICOFR ,,Abdul Rifani,Target fokus,"info 14 feb, saat ini BKI sedang menyusun pedomannya untuk kemudian saat implementasi akan engaged PRI. Preliminary discussion akan dimulai bulan maret, karena saat ini masih fokus menyelesaikan year end audit",
65,CONSULTING,PT Sigma Utama,Audit Forensik,,Lilik,Proses Penyusunan Proposal,klien akan diskusi telebih dahulu dengan auditor terkait kebutuhannya,
66,CONSULTING,Blora Pte. Ltd,Position paper perpajakan,,,Pending di Klien,akan diskusi internal terkait dengan kebutuhannya,
67,AUDIT,PT Perusahaan Syariah Keluarga,Due diligence ,,,Pending di Klien,masih dalam tahap review proposal di klien,
68,CONSULTING,PT Telekomunikasi Indonesia,Disposal Aset,,Anggi Warliman,Proses Penyusunan Proposal,timeline: 1 Mei - 15 Jul 2025,
69,CONSULTING,Perum Peruri,ICOFR,,Dien manrisk,Pending di Klien,proses pengadaan tender akan dilakukan bulan april 2025,
70,CONSULTING,PT ASDP,ICOFR dan improvement business process,,Fevi Quality Management,Pending di Klien,masih dalam diskusi internal di klien,
71,ACCOUNTING SERVICE,PT Pegadaian,ICOFR,,zaenuddin,Target fokus,meeting dengan klien di tanggal 14 mei,
72,Consulting,PT Semen Indonesia,amandemen SOD,,teguh (SIG),Pending di Klien,manajemen masih pembahasan terkait dengan RKAP,akan difollow up kembali oleh mba yuli
73,AUP,PT Semen Indonesia,"push promo -
analisa akun GCG dan penerapan pembayaran kepada 58 distributor terkait audit push promo"," Rp 760,000,000 ",Rizki (SIG),Pending di Klien,sedang proses di pengadaan,
74,"SOP, TCSA",PT Humpuss Intermoda Transportasi,business process & ERP," Rp 2,450,000,000 ",,Pending di Klien,"info dari mba yuli 8 sept, bahwa saat ini timnya mba yuli masih fokus kepada PIP sehingga HITS ini masih belum kembali di follow up",
75,AUDIT,PT Bumi Rojo Koyo,Audit 31 Des 2022,,monica,Pending di Klien,audit akan dilakukan ketika accc telah selesai dikerjakan. Saat ini masih terdapat pending dari klien untuk approval laporan acc service,
76,Limited Review,Perusahaan BUMD,Kajian akuntansi dan pajak," Rp 300,000,000 ",skha,Pending di Klien,proposal telah disampaikan kepada SKHA namun blm ada update lagi terkait dengan progressnya,
77,Consulting,PT Borneo Alumina Indonesia,Financial Modelling,,alexander,Pending di Klien,TOR nya sedang proses review oleh internal klien,
78,Consulting,Bank BJB,Proyeksi Keuangan konsolidasian 3 tahun kedepan (2024-2027)," Rp 80,000,000 ",gery,Pending di Klien,manajemen sedang fokus terhadap due dil,estimasi timeline 2 minggu
79,DUE DILIGENCE,Telkom Sigma,"Amandemen I Due Dil (Sigma) - sd 2024 PT A, B, C",,naufan (skha),Pending di Klien,akan diusahakan dulu utk selesai di akhir tahun,to be confirmed
80,CONSULTING,PT Adhi Persada Properti,ref dari mba yuli,,,Pending di Klien,menunggu arahan dari mba yuli,
81,Consulting,PT Semen Padang,Pembuatan policy aset tagging,,ref mba yuli,Pending di Klien,"saat ini prosesnya masih berjalan, karena ada restrukturisasi GM, sehingga menunggu arahan lebih lanjut dari GM yang baru. pra-proposal sudah dipaparkan kepada direksi sampai dengan level GM. estimasi akan mulai di bulan mei 2024.",
82,Consulting,PT Semen Tonasa,Pembuatan policy aset tagging,,ref mba yuli,Pending di Klien,pra-proposal sudah dipaparkan kepada direksi sampai dengan level GM. estimasi akan mulai di bulan mei 2024,
83,DUE DILIGENCE,PT Pelindo Solusi Logistik,akuisisi saham BJTI dari SPTP," Rp 125,000,000 ",arif PIL,Pending di Klien,saat ini masih menunggu hasil evaluasi dari manajemen,
84,AUDIT,PT Kerthi,Audit 31 des 2021-2022,,,Pending di Klien,,estimasi timeline: selesai di Des 2023
85,Limited Review,PT Humpuss Intermoda Tbk,AUP (utk keperluan KJPP),,,Pending di Klien,prosedur akan disampaikan ke kllien 5 feb 2024,timeline sd 20 Maret 2024
86,Consulting,Perusahaan BUMN,Risk Majority asesmen,,,Target fokus,pak ade sedang diskusi dengan orng BUMN,
87,AUDIT,Bank Pembangunan Daerah,Audit,,,Target fokus,,
88,CONSULTING,perusahaan investasi,Kajian bisnis di perusahaan investasi,,ref: pak reza,Pending di Klien,,
89,Consulting,Bank BJB,Risk Majurity Index,,,Target fokus,saat ini sedang persiapan penyusunan discussion paper,
90,CONSULTING,PT Semen Padang,ICOFR,,ref mba yuli,Pending di Klien,"info dari mba yuli 29 Jan 2024, RKAP telah disetujui oleh manajemen",akan difollow up kembali oleh mba yuli
91,AUDIT,PT Permata Husada Sakti,Audit 31 Des 2022 dan 2023,,lilis,Pending di Klien,klien belum menyampaikan LK in house,
92,AUDIT,PT Citra International Underwriter,Audit 31 Des 2024," Rp 150,000,000 ",nur - visual,Pending di Klien,"info dari pak nur pada 19 juli, blm ada keputusan dari manajemen",
93,CONSULTING,ITDC,SPA 3000,,tidak ada respon lagi dari klien,To be Confirmed,,
94,CONSULTING,PT PLN Indonesia Power,Amandemen posper," Rp 162,500,000 ",tidak ada respon lagi dari klien,Pending di Klien,"hasil dari diskusi dengan klien pada tgl 26 Nov, konfirmasi dari klien bahwa saat ini masih menunggu penyelesaian TOR",
95,CONSULTING,PT Taspen,ICOFR,,"info dari Bu Merry, proses pengadaan sudah dilakukan",Target Fokus,,
96,CONSULTING,Perum Perumnas,Pendampingan pengembangan risk modelling," Rp 250,000,000 ","pak latief
ref: pak adhit",Pending di Klien,penawaran sudah disampaikan kepada klien,
97,AUDIT,Batumbu,Audit 31 Des 2024,,ref: pak taufik atau pak,Pending di Klien,menunggu dokumen summary SOP ver 1.0 dari klien untuk kemudian dilakukan asesmen oleh pak taufik dan tim,
